,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost,Year
437,Kyle Allen,WAS,QB,25,2,0,0,0,120,1,19,11,0,2,0,0,8,0,1,1,2021
438,Alex Armah,2TM,RB,27,11,2,1,1,0,0,0,21,0,5,1,1,8,0,0,0,2021
439,Garrett Gilbert,WAS,QB,30,1,1,0,0,194,0,31,0,0,0,0,0,8,0,1,0,2021
440,Tyree Jackson,PHI,TE,24,9,3,7,3,0,0,0,0,0,0,22,1,8,0,0,0,2021
441,Chris Myarick,NYG,TE,26,8,3,6,3,0,0,0,0,0,0,17,1,8,0,0,0,2021
442,Dezmon Patmon,IND,WR,23,8,0,4,2,0,0,0,0,0,0,21,1,8,0,0,0,2021
443,Drew Sample,CIN,TE,25,17,8,15,11,0,0,0,0,0,0,81,0,8,0,0,0,2021
444,Mitchell Trubisky,BUF,QB,27,6,0,0,0,43,0,8,24,1,13,0,0,8,1,0,0,2021
445,Preston Williams,MIA,WR,24,8,3,16,6,0,0,0,7,0,1,71,0,8,0,0,0,2021
446,KJ Hamler,DEN,WR,22,3,2,10,5,0,0,0,0,0,0,74,0,7,0,0,0,2021
447,Josh Oliver,BAL,TE,24,14,1,15,9,0,0,0,0,0,0,66,0,7,0,1,0,2021
448,Andre Roberts,2TM,WR,33,16,0,2,1,0,0,0,19,0,3,35,0,7,0,3,2,2021
449,Johnny Stanton,CLE,RB,27,4,0,2,2,0,0,0,5,0,3,7,1,7,0,0,0,2021
450,Jonathan Ward,ARI,RB,24,13,0,4,3,0,0,0,33,0,9,34,0,7,0,0,0,2021
451,Dede Westbrook,MIN,WR,28,15,0,15,10,0,0,0,0,0,0,68,0,7,0,2,0,2021
452,C.J. Board,NYG,WR,28,6,1,6,4,0,0,0,6,0,1,51,0,6,0,0,0,2021
453,Mike Boone,DEN,RB,26,8,0,2,2,0,0,0,35,0,4,22,0,6,0,0,0,2021
454,Ja'Marcus Bradley,CLE,WR,25,5,0,4,4,0,0,0,0,0,0,64,0,6,0,0,0,2021
455,Alex Erickson,CAR,WR,29,17,0,4,3,0,0,0,0,0,0,55,0,6,0,0,0,2021
456,Luke Farrell,JAX,TE,24,15,4,11,7,0,0,0,0,0,0,56,0,6,0,1,0,2021
457,Penny Hart,SEA,WR,25,17,0,12,7,0,0,0,0,0,0,59,0,6,0,0,0,2021
458,Dax Milne,WAS,WR,22,13,1,14,9,0,0,0,1,0,1,83,0,6,0,1,1,2021
