Player,2019 FantasyPoints,2020 FantasyPoints,2021 FantasyPoints,Production21,Average Total Production,2021 Tm,Pos,AVG,Prediction
Ke'Shawn Vaughn,0.0,18.0,33.0,56.72727272727273,32.24242424242424,TAM,RB,251.0,96.55333523175759
Damien Williams,141.1,0.0,45.0,51.42857142857143,34.93114543114543,CHI,RB,252.0,97.34073206629019
Parris Campbell,38.1,9.0,22.0,32.6,23.73333333333333,IND,WR,253.0,88.80127524620991
Kendrick Bourne,95.8,81.0,126.0,126.48,95.51728411338168,NWE,WR,254.0,131.6878232356435
Terrace Marshall Jr.,0.0,0.0,16.0,38.17021276595744,12.723404255319148,CAR,WR,254.0,89.05975673853894
Amari Rodgers,0.0,0.0,6.0,74.66666666666667,24.88888888888889,GNB,WR,255.0,90.75601975305295
Jerick McKinnon,0.0,93.0,23.0,69.0625,47.29379921259842,KAN,RB,255.7,93.36541603157879
Sterling Shepard,139.8,97.0,42.0,28.15730337078652,43.06525496974936,NYG,WR,256.0,93.22024555645791
Jalen Guyton,0.0,69.0,66.0,98.22784810126582,65.77072848355446,LAC,WR,257.0,110.21353778905366
Dontrell Hilliard,38.1,5.0,54.0,42.829268292682926,49.77642276422764,TEN,RB,259.0,96.2179684512514
Adam Trautman,0.0,23.0,36.0,49.21428571428571,44.14669738863287,NOR,TE,262.0,93.69723115448002
James Washington,133.5,69.0,42.0,66.17647058823529,76.4370430843005,PIT,WR,267.0,94.55750463477159
Demarcus Robinson,100.9,63.0,44.0,68.77272727272727,74.7456394180532,KAN,WR,271.0,93.08805370792216
Chris Evans,0.0,0.0,35.0,94.7058823529412,31.5686274509804,CIN,RB,276.0,91.27192433263207
Eno Benjamin,0.0,0.0,22.0,35.34146341463415,11.78048780487805,ARI,RB,280.5,76.47030726528403
Foster Moreau,68.4,26.0,55.0,86.37837837837839,92.98844496670584,LVR,TE,282.0,92.51411392703577
Ricky Seals-Jones,58.9,0.0,39.0,44.9240506329114,45.1783872480075,WAS,TE,283.0,83.07156153429969
Josh Reynolds,61.9,72.0,52.0,61.23076923076923,74.63957971852709,2TM,WR,291.0,84.82712009416159
Mo Alie-Cox,17.3,49.0,56.0,78.84057971014494,80.671170680324,IND,TE,291.5,88.06235252982418
Randall Cobb,154.9,62.0,66.0,68.23880597014926,70.46281735910941,GNB,WR,294.0,89.37763461232751
Rashard Higgins,15.5,84.0,34.0,58.309859154929576,61.24061472455205,CLE,WR,298.0,75.72254725654341
O.J. Howard,83.9,27.0,20.0,66.05714285714286,53.27115489874111,TAM,TE,299.0,72.30372457236271
Rex Burkhead,101.1,83.0,79.0,64.0,61.63624595469256,HOU,RB,299.5,87.72685950659054
David Johnson,141.5,147.0,49.0,54.14678899082568,61.20214075144648,HOU,RB,300.0,78.23804926927275
Josiah Deguara,0.0,1.0,37.0,68.13793103448276,25.379310344827587,GNB,TE,301.0,77.5727708937091
Zay Jones,48.9,23.0,59.0,79.91452991452991,66.16023546170605,LVR,WR,305.0,83.87737362258153
Jauan Jennings,0.0,0.0,58.0,74.06451612903226,24.688172043010752,SFO,WR,306.0,81.99560683902149
Tyler Conklin,13.8,25.0,77.0,68.45945945945947,62.042042042042034,MIN,TE,306.0,88.1977851169139
Antonio Brown,16.1,72.0,79.0,37.355769230769226,26.261372713475517,TAM,WR,309.0,78.44447320290357
Olamide Zaccheaus,20.5,33.0,59.0,83.17857142857143,95.45054945054945,ATL,WR,313.0,80.15936248098868
Jonnu Smith,104.7,99.0,39.0,73.42465753424658,81.3256540956843,NWE,TE,315.0,70.13372489587799
Nick Westbrook-Ikhine,0.0,5.0,70.0,80.84210526315789,40.94736842105263,TEN,WR,317.5,81.42236111004873
Byron Pringle,35.0,28.0,85.0,95.5,87.66031746031746,KAN,WR,318.0,87.11712984064563
Bryan Edwards,0.0,25.0,75.0,98.752688172043,62.763716570168185,LVR,WR,318.0,84.10856054241836
Cam Sims,4.7,54.0,34.0,81.05263157894737,71.81754385964912,WAS,WR,319.0,68.19158814453206
Jaelon Darden,0.0,0.0,5.0,27.0,9.0,TAM,WR,322.0,51.12051810741984
Josh Gordon,73.7,0.0,9.0,20.842105263157897,28.15457562825984,KAN,WR,323.0,50.04777358129313
N'Keal Harry,39.4,41.0,16.0,64.94117647058823,47.88409586056645,NWE,WR,324.0,57.782146716466386
Jake Kumerow,39.9,8.0,3.0,52.5,71.6111111111111,BUF,WR,331.0,49.21229548998235
Zack Moss,0.0,88.0,82.0,55.5546875,37.88489583333333,BUF,RB,334.0,71.83510595752529
Jake Funk,0.0,0.0,1.0,25.0,8.333333333333334,LAR,RB,335.0,42.983668411055675
Emmanuel Sanders,188.3,104.0,90.0,81.17543859649123,81.69002385695961,BUF,WR,336.0,76.19434561513934
Devontae Booker,12.6,69.0,104.0,72.7578947368421,80.11228070175439,NYG,RB,337.0,78.25761784419063
Marquise Goodwin,38.1,0.0,37.0,73.03333333333333,42.70808080808081,CHI,WR,338.0,58.18352450553522
Cole Beasley,180.8,126.0,77.0,57.23711340206186,67.42582802609023,BUF,WR,339.0,71.17105713373252
Nelson Agholor,92.0,138.0,66.0,72.32673267326733,73.85967062518218,NWE,WR,341.0,63.385598282813845
Devonta Freeman,197.6,29.0,113.0,70.58285714285714,49.23878210536183,BAL,RB,342.0,77.12471413230443
Zach Pascal,133.3,93.0,57.0,61.00934579439252,79.37946514295577,IND,WR,344.0,61.02589674273645
T.Y. Hilton,125.1,108.0,51.0,55.66666666666666,59.22006427642824,IND,WR,348.0,52.571804083405596
Jordan Howard,111.4,30.0,61.0,32.92307692307692,29.990719319666685,PHI,RB,351.0,48.86754665910905
Latavius Murray,157.2,113.0,94.0,61.72727272727273,69.68316703394223,BAL,RB,355.0,62.338699808387574
Tommy Tremble,0.0,0.0,33.0,56.14545454545455,18.715151515151515,CAR,TE,356.0,46.47932477695768
Jaret Patterson,0.0,0.0,46.0,73.37974683544303,24.459915611814345,WAS,RB,357.0,52.05076313593766
Quez Watkins,0.0,17.0,73.0,105.4,45.833333333333336,PHI,WR,362.0,63.38090702468959
Dan Arnold,32.7,66.0,41.0,51.58620689655172,57.98567343122696,2TM,TE,364.0,44.65215315258966
Tre'Quan Smith,71.4,69.0,56.0,50.97560975609756,62.64949265771728,NOR,WR,365.0,47.757078380526934
Giovani Bernard,68.4,111.0,36.0,59.67567567567567,64.98114507950574,TAM,RB,367.0,42.70291067503386
Jared Cook,167.5,90.0,84.0,69.37404580152672,80.3167399712611,LAC,TE,369.0,56.90842691368094
Derrick Gore,0.0,0.0,48.0,66.55000000000001,22.183333333333337,KAN,RB,371.0,43.44274321008645
Kalif Raymond,29.5,18.0,84.0,81.74789915966386,86.66199813258636,DET,WR,373.0,58.237162915139976
Brandon Bolden,50.9,0.0,83.0,115.89247311827955,73.82313206506755,NWE,RB,375.0,58.60662425889582
Tevin Coleman,135.4,9.0,41.0,44.55,42.30744873888586,NYJ,RB,377.0,35.63773583693602
Ty Johnson,60.2,47.0,83.0,84.6896551724138,70.4147550338306,NYJ,RB,379.0,55.42036273270975
Breshad Perriman,138.1,69.0,22.0,34.13793103448276,63.86819923371648,TAM,WR,380.0,27.97505283852398
Juwan Johnson,0.0,4.0,40.0,65.2,28.23333333333333,NOR,TE,386.0,35.810789419981944
Dyami Brown,0.0,0.0,16.0,65.27027027027027,21.75675675675676,WAS,WR,390.0,27.13716837912365
Darius Slayton,170.0,91.0,43.0,50.76190476190476,70.87192868014786,NYG,WR,391.0,32.839854549346626
Benny Snell Jr.,0.0,65.0,11.0,47.175,34.199666666666666,PIT,RB,394.0,21.49748178044716
Anthony McFarland Jr.,0.0,17.0,1.0,7.0,16.91269841269841,PIT,RB,395.0,11.311408175857508
Equanimeous St. Brown,0.0,18.0,11.0,56.0,43.66666666666666,GNB,WR,397.0,21.243973172891245
Kene Nwangwu,0.0,0.0,19.0,42.77777777777778,14.25925925925926,MIN,RB,399.0,17.180954073314382
Pharaoh Brown,4.7,28.0,15.0,45.0,55.03333333333333,HOU,TE,404.0,17.7856771144251
