,Player,Targets,RushingTDs,ReceivingTDs,Receptions,RushingAtt,RushingYds,ReceivingYds,FantasyPoints,ADP,Games,Usage,Touchdowns,TotYdsScrm,Production,PassingYds,PassingTD,PassingAtt,RushingTD,AVG,G
52,Byron Pringle,60.0,0.0,5.0,42.0,0.0,0.0,568.0,85.0,318.0,17.0,6.0,5.0,568.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Kalif Raymond,71.0,0.0,4.0,48.0,4.0,28.0,576.0,84.0,373.0,16.0,7.4375,4.0,604.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Mecole Hardman,83.0,0.0,2.0,59.0,8.0,46.0,693.0,82.0,164.5,17.0,8.352941176470589,2.0,739.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Jarvis Landry,87.0,2.0,2.0,52.0,6.0,40.0,570.0,81.0,141.3,12.0,11.583333333333334,4.0,610.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Antonio Brown,62.0,0.0,4.0,42.0,1.0,6.0,545.0,79.0,309.0,7.0,14.857142857142858,4.0,551.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Cole Beasley,112.0,0.0,1.0,82.0,0.0,0.0,693.0,77.0,339.0,16.0,12.125,1.0,693.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Deonte Harris,59.0,0.0,3.0,36.0,5.0,41.0,570.0,77.0,0.0,13.0,7.3076923076923075,3.0,611.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Donovan Peoples-Jones,58.0,0.0,3.0,34.0,0.0,0.0,597.0,76.0,210.0,14.0,6.571428571428571,3.0,597.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Braxton Berrios+,65.0,2.0,2.0,46.0,7.0,40.0,431.0,75.0,0.0,16.0,6.9375,4.0,471.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Bryan Edwards,59.0,0.0,3.0,34.0,1.0,0.0,571.0,75.0,318.0,16.0,5.8125,3.0,571.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Quez Watkins,62.0,0.0,1.0,43.0,1.0,3.0,647.0,73.0,362.0,17.0,6.176470588235294,1.0,650.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
